,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
,HOU,2319,6291,221,863,834,53,9.00%,19.40%,0.177,0.303,0.267,0.339,0.444,0.336,,116,-6.2,117.4,19.8,35.2
,TBR,2389,6213,222,857,810,88,9.40%,24.80%,0.186,0.294,0.243,0.321,0.429,0.322,,109,11.2,82.4,22.8,31.7
,SFG,2597,6196,241,804,768,66,9.70%,23.60%,0.191,0.295,0.249,0.329,0.44,0.329,,108,-6.4,54.8,55,31.7
,LAD,2459,6239,237,830,799,65,9.80%,22.60%,0.185,0.284,0.244,0.33,0.429,0.327,,106,9.3,54.7,31.6,29.5
,TOR,2383,6070,262,846,816,81,8.20%,20.10%,0.2,0.296,0.266,0.33,0.466,0.34,,112,2.8,95.1,-8.7,29.3
,STL,2384,6001,198,706,678,89,8.00%,22.30%,0.168,0.287,0.244,0.313,0.412,0.312,,97,11.7,-11.2,66.5,25.6
,CHW,2292,6084,190,796,757,57,9.60%,22.80%,0.166,0.31,0.256,0.336,0.422,0.329,,109,-0.9,68.1,-35.9,24
,ATL,2392,6056,239,790,762,59,9.10%,24.00%,0.191,0.288,0.244,0.319,0.435,0.323,,98,5.4,-8.4,43.5,23.7
,OAK,2353,6104,199,743,698,88,8.90%,22.10%,0.168,0.278,0.238,0.317,0.406,0.313,,102,11.8,23.6,1.4,23.3
,BOS,2353,6122,219,829,783,40,8.40%,22.60%,0.188,0.309,0.261,0.328,0.449,0.333,,107,-4.4,45,-31.6,22.2
,NYM,2419,5856,176,636,604,54,8.50%,23.80%,0.152,0.291,0.239,0.315,0.391,0.307,,96,-13.5,-41,62.4,21.7
,SDP,2497,6119,180,729,695,110,9.60%,21.60%,0.159,0.287,0.242,0.321,0.401,0.312,,97,0.7,-20.5,26.9,21.1
,MIN,2356,6078,228,729,690,54,8.60%,23.10%,0.182,0.282,0.241,0.314,0.423,0.318,,101,-3.1,2.1,-11.2,19.8
,WSN,2386,6113,182,724,686,56,9.40%,21.30%,0.159,0.307,0.258,0.337,0.417,0.326,,101,-25.4,-19.6,5.4,19
,PHI,2394,6089,198,734,700,77,9.30%,23.00%,0.168,0.286,0.24,0.318,0.408,0.313,,93,7.8,-47.9,31.5,18.7
,MIL,2403,6099,194,738,700,82,9.60%,24.00%,0.163,0.283,0.233,0.317,0.396,0.31,,91,8.5,-61.2,37.2,17.9
,CIN,2472,6162,222,786,756,36,9.00%,23.10%,0.182,0.296,0.249,0.328,0.431,0.327,,98,-15.1,-28.9,-0.3,17.6
,NYY,2354,6060,222,711,666,63,10.20%,24.50%,0.169,0.285,0.237,0.322,0.407,0.317,,101,-15.1,-6.5,-36.8,16.3
,CLE,2300,5907,203,717,686,109,7.70%,23.50%,0.169,0.282,0.238,0.303,0.407,0.306,,93,7.4,-43.9,3.8,16.1
,CHC,2475,5972,210,705,672,86,8.40%,26.70%,0.171,0.296,0.237,0.312,0.407,0.311,,92,-8.6,-71.8,29.1,15.7
,KCR,2368,5993,163,686,647,124,7.00%,21.00%,0.147,0.292,0.249,0.306,0.396,0.304,,89,13.2,-64.9,-1,13.8
,MIA,2436,5928,158,623,594,106,7.60%,26.20%,0.139,0.296,0.233,0.298,0.372,0.291,,84,0.4,-119.3,48.9,12.7
,TEX,2252,5943,167,625,598,106,7.30%,23.20%,0.143,0.28,0.232,0.294,0.375,0.291,,84,-1.8,-118.2,41.4,12.5
,LAA,2325,6016,190,723,691,79,7.70%,23.20%,0.162,0.294,0.245,0.31,0.407,0.308,,94,6.8,-35.5,-45,12.4
,SEA,2360,6010,199,697,673,64,8.90%,24.80%,0.159,0.273,0.226,0.303,0.385,0.3,,93,-7.1,-56,-27.1,12.1
,COL,2344,6007,182,739,709,76,8.20%,22.60%,0.165,0.299,0.249,0.317,0.414,0.315,,82,12.4,-125.7,43.9,11.8
,ARI,2449,6144,144,679,644,43,8.70%,23.80%,0.146,0.295,0.236,0.309,0.382,0.301,,84,6.6,-117.7,15.5,10.3
,DET,2341,5979,179,697,675,88,8.20%,25.30%,0.158,0.3,0.242,0.308,0.399,0.306,,93,1.2,-53.2,-54.9,9.5
,PIT,2393,5983,124,609,570,60,8.80%,22.20%,0.128,0.29,0.236,0.309,0.364,0.294,,83,-3.9,-135.8,17.1,8.1
,BAL,2376,5983,195,659,632,54,7.50%,24.30%,0.163,0.29,0.239,0.304,0.402,0.305,,91,-6.2,-75.5,-64.6,6.3
