,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
,HOU,75,41,34,453,116,1028.2,9.09,2.86,0.87,0.263,76.60%,41.40%,9.30%,94.3,3.02,,3.47,3.76,17.4
,LAD,79,34,32,503,113,1007.1,8.84,2.46,0.88,0.263,77.10%,42.40%,9.10%,93.3,2.9,,3.39,3.7,17.1
,ATL,70,46,41,479,116,1038.1,9.59,3.24,0.87,0.294,73.10%,43.50%,9.90%,94.7,3.63,,3.46,3.65,16.5
,PHI,63,51,30,481,114,1011,8.84,2.91,0.93,0.291,72.40%,44.50%,10.30%,94.7,3.74,,3.62,3.76,16.4
,NYY,72,43,35,471,115,1031.2,9.1,2.68,0.99,0.267,77.10%,44.20%,11.00%,95.2,3.28,,3.55,3.6,15
,SDP,65,52,36,453,117,1042,8.97,2.95,0.99,0.287,73.00%,42.50%,10.60%,94.3,3.77,,3.71,3.8,14.4
,NYM,75,40,33,455,115,1027.2,9.67,2.74,1.06,0.292,77.10%,43.70%,12.00%,94.2,3.45,,3.57,3.49,14.3
,SFG,57,57,25,515,114,1007.1,8.59,2.77,0.87,0.307,69.30%,48.00%,10.00%,94.6,3.97,,3.5,3.67,13.4
,BAL,59,55,32,506,114,1007.2,7.83,2.79,1.13,0.296,74.10%,42.30%,11.30%,93.4,3.93,,4.07,4.08,12.7
,TBR,60,53,32,511,113,1004.2,8.67,2.43,1.07,0.28,73.60%,41.80%,11.10%,94.2,3.45,,3.71,3.74,11.7
,LAA,51,64,26,467,115,1020.2,8.72,3.35,1.06,0.28,73.20%,41.50%,11.10%,94.2,3.84,,3.95,3.98,11.4
,CHW,59,56,35,506,115,1027,9.15,3.44,1.08,0.299,72.40%,42.20%,11.30%,94.8,3.91,,3.87,3.88,11.4
,CLE,61,53,30,461,114,1010.1,8.41,2.81,1.09,0.283,72.60%,42.20%,11.20%,93.2,3.79,,3.88,3.9,11.2
,MIL,61,52,40,483,113,1004,9.55,3.29,1.17,0.285,72.90%,43.50%,13.10%,93.1,3.84,,3.91,3.69,11.1
,MIA,50,65,28,492,115,1017.2,8.85,3.13,1.04,0.29,73.00%,45.20%,12.20%,94.3,3.8,,3.86,3.76,10
,DET,43,73,25,532,116,1010.2,7.5,3.22,0.95,0.285,69.90%,41.50%,9.20%,93.6,4.03,,4.01,4.34,9.5
,TOR,61,52,32,521,113,1003,8.51,2.68,1.2,0.294,73.30%,41.00%,12.20%,93.9,3.99,,4.02,3.9,9.3
,SEA,62,54,30,500,116,1034,8.51,2.92,1.24,0.279,77.00%,38.90%,11.80%,93.7,3.69,,4.11,4.04,8.6
,BOS,57,59,25,537,116,1036,8.44,3.22,1.09,0.297,70.00%,42.70%,11.30%,94.1,4.35,,4.06,4.07,8.6
,COL,51,66,32,478,117,1031.1,7.08,3.39,1.13,0.313,67.10%,43.90%,11.80%,93.9,5.02,,4.43,4.37,8.4
,STL,63,51,27,442,114,1007.2,7.52,3.09,1.02,0.285,74.50%,46.90%,11.70%,93.9,3.89,,4.09,4.05,7.4
,ARI,53,61,26,503,114,1005.1,7.44,3.11,1.05,0.283,70.40%,40.70%,10.20%,92.3,4.12,,4.15,4.33,7.3
,PIT,45,70,26,477,115,1008,7.8,3.59,1.08,0.308,69.40%,43.40%,11.10%,93.4,4.63,,4.31,4.35,7
,MIN,58,55,21,501,113,1002,8.39,3.03,1.24,0.281,73.10%,40.20%,11.80%,92.8,4.06,,4.17,4.11,7
,CHC,47,66,25,487,113,1007.1,8.83,3.36,1.3,0.297,71.50%,42.90%,13.70%,92.6,4.3,,4.3,3.98,7
,TEX,51,63,26,498,114,1014,8.33,3.59,1.04,0.286,71.40%,46.00%,11.60%,94.8,4.09,,4.12,4.09,6.8
,CIN,45,68,24,515,113,992,9,3.88,1.41,0.301,70.50%,39.30%,13.50%,95,5.05,,4.68,4.36,5.2
,KCR,48,68,26,520,116,1019.1,7.58,3.89,1.14,0.304,70.30%,43.80%,11.50%,94,4.69,,4.5,4.48,4.5
,OAK,41,74,27,500,115,1009.2,7.62,3.19,1.21,0.28,71.40%,41.60%,11.40%,93,4.32,,4.37,4.38,4.1
,WSN,38,78,20,540,116,1012,7.89,3.7,1.57,0.305,69.40%,41.80%,14.60%,93.6,5.3,,5.03,4.53,-0.3
